image_id,split,sat_image_path,mask_path
100034,train,train/100034_sat.jpg,train/100034_mask.png
100081,train,train/100081_sat.jpg,train/100081_mask.png
100129,train,train/100129_sat.jpg,train/100129_mask.png
100703,train,train/100703_sat.jpg,train/100703_mask.png
100712,train,train/100712_sat.jpg,train/100712_mask.png
100773,train,train/100773_sat.jpg,train/100773_mask.png
100841,train,train/100841_sat.jpg,train/100841_mask.png
100867,train,train/100867_sat.jpg,train/100867_mask.png
100892,train,train/100892_sat.jpg,train/100892_mask.png
101225,train,train/101225_sat.jpg,train/101225_mask.png
101296,train,train/101296_sat.jpg,train/101296_mask.png
101395,train,train/101395_sat.jpg,train/101395_mask.png
102408,train,train/102408_sat.jpg,train/102408_mask.png
10246,train,train/10246_sat.jpg,train/10246_mask.png
10255,train,train/10255_sat.jpg,train/10255_mask.png
102699,train,train/102699_sat.jpg,train/102699_mask.png
102925,train,train/102925_sat.jpg,train/102925_mask.png
102945,train,train/102945_sat.jpg,train/102945_mask.png
103056,train,train/103056_sat.jpg,train/103056_mask.png
103201,train,train/103201_sat.jpg,train/103201_mask.png
103341,train,train/103341_sat.jpg,train/103341_mask.png
103447,train,train/103447_sat.jpg,train/103447_mask.png
103627,train,train/103627_sat.jpg,train/103627_mask.png
103722,train,train/103722_sat.jpg,train/103722_mask.png
104350,train,train/104350_sat.jpg,train/104350_mask.png
104607,train,train/104607_sat.jpg,train/104607_mask.png
10466,train,train/10466_sat.jpg,train/10466_mask.png
104683,train,train/104683_sat.jpg,train/104683_mask.png
10486,train,train/10486_sat.jpg,train/10486_mask.png
104883,train,train/104883_sat.jpg,train/104883_mask.png
104943,train,train/104943_sat.jpg,train/104943_mask.png
104,train,train/104_sat.jpg,train/104_mask.png
105157,train,train/105157_sat.jpg,train/105157_mask.png
105252,train,train/105252_sat.jpg,train/105252_mask.png
105282,train,train/105282_sat.jpg,train/105282_mask.png
105428,train,train/105428_sat.jpg,train/105428_mask.png
1054,train,train/1054_sat.jpg,train/1054_mask.png
105553,train,train/105553_sat.jpg,train/105553_mask.png
105596,train,train/105596_sat.jpg,train/105596_mask.png
105742,train,train/105742_sat.jpg,train/105742_mask.png
105856,train,train/105856_sat.jpg,train/105856_mask.png
106119,train,train/106119_sat.jpg,train/106119_mask.png
106147,train,train/106147_sat.jpg,train/106147_mask.png
106448,train,train/106448_sat.jpg,train/106448_mask.png
106523,train,train/106523_sat.jpg,train/106523_mask.png
106676,train,train/106676_sat.jpg,train/106676_mask.png
106718,train,train/106718_sat.jpg,train/106718_mask.png
106737,train,train/106737_sat.jpg,train/106737_mask.png
106741,train,train/106741_sat.jpg,train/106741_mask.png
106797,train,train/106797_sat.jpg,train/106797_mask.png
107030,train,train/107030_sat.jpg,train/107030_mask.png
10716,train,train/10716_sat.jpg,train/10716_mask.png
107412,train,train/107412_sat.jpg,train/107412_mask.png
107469,train,train/107469_sat.jpg,train/107469_mask.png
107582,train,train/107582_sat.jpg,train/107582_mask.png
107770,train,train/107770_sat.jpg,train/107770_mask.png
107853,train,train/107853_sat.jpg,train/107853_mask.png
